,id,length,diameter,color
0,70239202173044053,19.0,3.9,желтый
1,70239201931544223,19.0,5.5,красный цинк
2,70239202173061020,40.0,3.5,желтый цинк
3,70239202167093100,76.0,4.8,
4,70239201931544264,13.0,4.2,темно-зеленый
5,70239202149038582,16.0,4.2,
6,70239202173079227,35.0,4.0,желтый
7,70239202173079540,40.0,3.0,желтый цинк
8,70239202173041120,150.0,6.0,желтый
9,70239201940756915,127.0,4.8,
10,70239202157985954,80.0,5.0,
11,70239202173030827,11.0,3.5,
12,70239202190669630,51.0,3.8,
13,70239202149060033,25.0,3.5,
14,70239201931548795,100.0,6.3,
15,70239202173031239,29.0,4.8,шоколадно-коричневый
16,70239202156197890,60.0,5.0,
17,70239202156300718,35.0,3.0,
18,70239202173083465,19.0,4.2,темно-зеленый
19,70239202173069231,35.0,3.5,желтый
20,70239202173127529,80.0,4.8,земельно-коричневый
21,70239202149070937,20.0,3.0,
22,70239201942560174,140.0,6.0,
23,70239202164413912,32.0,4.2,
24,70239202148960490,70.0,6.0,
25,70239201940711571,51.0,4.2,
26,70239202149066136,40.0,3.5,
27,70239202173037662,19.0,3.9,
28,70239202173032275,35.0,3.8,желтый
29,70239202156256753,45.0,4.5,
30,70239202149062918,60.0,4.0,
31,70239202157964767,45.0,3.5,
32,70239202157979671,30.0,3.9,
33,70239202173066757,35.0,3.0,желтый цинк
34,70239202173095097,70.0,5.0,желтый
35,70239202173125945,35.0,4.8,темно-красный
36,70239201940756488,65.0,4.2,
37,70239202173481116,19.0,5.5,цинк
38,70239201940745447,5.5,19.0,
39,70239202157978960,50.0,3.5,
40,70239202188629740,35.0,4.5,
41,70239202149057993,9.5,3.5,
42,70239201976652672,70.0,4.8,
43,70239202173045502,30.0,,желтый
44,70239201931547270,14.0,4.2,цинк
45,70239202173052250,30.0,3.9,
46,70239202148927213,19.0,4.2,
47,70239201931455208,80.0,8.0,
48,70239201931436994,25.0,3.5,
49,70239202173481093,75.0,4.2,
50,70239201940724796,41.0,3.5,
51,70239202173128310,25.0,4.2,цинк
52,70239202153673854,75.0,4.2,
53,70239202153673901,19.0,3.5,
54,70239202188507242,35.0,3.5,
55,70239202148927467,30.0,4.0,
56,70239202157981983,11.0,3.8,
57,70239201931545209,32.0,4.2,темно-зеленый
58,70239202173085433,19.0,4.8,зеленый
59,70239202158261190,20.0,3.5,
60,70239201940757106,35.0,4.8,
61,70239202148926893,70.0,5.0,
62,70239202149067953,70.0,5.0,
63,70239201931468636,35.0,3.5,
64,70239202149066338,110.0,4.8,
65,70239201940724954,45.0,3.5,
